IndexNumber_Target,CCT_Target,Duv_Target,Duv_signed,CIEu1960_Target,CIEv1960_Target,CIEu1976_Target,CIEv1976_Target
267,3855,0.012,0.012,0.221339146949402,0.346302078023116,0.221339146949402,0.519453117034674
268,3855,0.015,0.015,0.219713216836752,0.348823258553895,0.219713216836752,0.523234887830843
269,3855,0.018,0.018,0.218087286724103,0.351344439084674,0.218087286724103,0.527016658627012
270,3855,0.021,0.021,0.216461356611453,0.353865619615453,0.216461356611453,0.53079842942318
271,3855,0.024,0.024,0.214835426498804,0.356386800146233,0.214835426498804,0.534580200219349
272,3855,0.027,0.027,0.213209496386154,0.358907980677012,0.213209496386154,0.538361971015517
273,3855,0.03,0.03,0.211583566273504,0.361429161207791,0.211583566273504,0.542143741811686
274,3855,0.0330000000000001,0.0330000000000001,0.209957636160855,0.36395034173857,0.209957636160855,0.545925512607855
275,3855,0.036,0.036,0.208331706048205,0.366471522269349,0.208331706048205,0.549707283404023
276,3855,0.0390000000000001,0.0390000000000001,0.206705775935556,0.368992702800128,0.206705775935556,0.553489054200192
277,3855,0.042,0.042,0.205079845822906,0.371513883330907,0.205079845822906,0.55727082499636
278,3855,0.045,0.045,0.203453915710257,0.374035063861686,0.203453915710257,0.561052595792529
279,3855,0.048,0.048,0.201827985597607,0.376556244392465,0.201827985597607,0.564834366588698
280,3855,0,0,0.2278428674,0.3362173559,0.2278428674,0.50432603385
281,3855,0.00300000000000003,-0.00300000000000003,0.22946879751265,0.333696175369221,0.22946879751265,0.500544263053831
282,3855,0.00600000000000001,-0.00600000000000001,0.231094727625299,0.331174994838442,0.231094727625299,0.496762492257663
283,3855,0.00899999999999999,-0.00899999999999999,0.232720657737949,0.328653814307663,0.232720657737949,0.492980721461494
284,3855,0.012,-0.012,0.234346587850598,0.326132633776884,0.234346587850598,0.489198950665326
285,3855,0.015,-0.015,0.235972517963248,0.323611453246105,0.235972517963248,0.485417179869157
286,3855,0.018,-0.018,0.237598448075897,0.321090272715326,0.237598448075897,0.481635409072988
287,3855,0.021,-0.021,0.239224378188547,0.318569092184547,0.239224378188547,0.47785363827682
288,3855,0.024,-0.024,0.240850308301196,0.316047911653768,0.240850308301196,0.474071867480651
289,3855,0.027,-0.027,0.242476238413846,0.313526731122988,0.242476238413846,0.470290096684483
290,3855,0.03,-0.03,0.244102168526496,0.311005550592209,0.244102168526496,0.466508325888314
291,3855,0.0330000000000001,-0.0330000000000001,0.245728098639145,0.30848437006143,0.245728098639145,0.462726555092145
292,3855,0.036,-0.036,0.247354028751795,0.305963189530651,0.247354028751795,0.458944784295977
293,3855,0.0390000000000001,-0.0390000000000001,0.248979958864444,0.303442008999872,0.248979958864444,0.455163013499808
294,3855,0.042,-0.042,0.250605888977094,0.300920828469093,0.250605888977094,0.45138124270364
295,3855,0.045,-0.045,0.252231819089743,0.298399647938314,0.252231819089743,0.447599471907471
